trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN15942F231965:2021-03-09T18:51:45Z,09:48:00,09:49:00,StopPoint:OCEINTERCITES-87781666,1,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,10:08:00,10:09:00,StopPoint:OCEINTERCITES-87781609,2,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,10:19:00,10:20:00,StopPoint:OCEINTERCITES-87781583,3,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,10:34:00,10:35:00,StopPoint:OCEINTERCITES-87781542,4,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,10:59:00,11:00:00,StopPoint:OCEINTERCITES-87783456,5,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,11:07:00,11:09:00,StopPoint:OCEINTERCITES-87783431,6,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,11:15:00,11:16:00,StopPoint:OCEINTERCITES-87783423,7,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,11:26:00,11:29:00,StopPoint:OCEINTERCITES-87783001,8,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,11:58:00,11:59:00,StopPoint:OCEINTERCITES-87783365,9,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,12:11:00,12:12:00,StopPoint:OCEINTERCITES-87783340,10,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,12:25:00,12:28:00,StopPoint:OCEINTERCITES-87783324,11,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,12:47:00,12:48:00,StopPoint:OCEINTERCITES-87783282,12,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,13:11:00,13:12:00,StopPoint:OCEINTERCITES-87783266,13,,0,0,
OCESN15942F231965:2021-03-09T18:51:45Z,13:24:00,13:24:00,StopPoint:OCEINTERCITES-87783241,14,,1,0,
OCESN15942F237018:2021-02-24T18:51:06Z,09:20:00,09:20:00,StopPoint:OCEINTERCITES-87781005,0,,0,1,
OCESN15942F237018:2021-02-24T18:51:06Z,09:33:00,09:34:00,StopPoint:OCEINTERCITES-87781666,1,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,09:53:00,09:54:00,StopPoint:OCEINTERCITES-87781609,2,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,10:04:00,10:05:00,StopPoint:OCEINTERCITES-87781583,3,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,10:19:00,10:20:00,StopPoint:OCEINTERCITES-87781542,4,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,10:44:00,10:45:00,StopPoint:OCEINTERCITES-87783456,5,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,10:52:00,10:54:00,StopPoint:OCEINTERCITES-87783431,6,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,11:00:00,11:01:00,StopPoint:OCEINTERCITES-87783423,7,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,11:11:00,11:14:00,StopPoint:OCEINTERCITES-87783001,8,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,11:43:00,11:44:00,StopPoint:OCEINTERCITES-87783365,9,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,11:56:00,11:57:00,StopPoint:OCEINTERCITES-87783340,10,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,12:10:00,12:11:00,StopPoint:OCEINTERCITES-87783324,11,,0,0,
OCESN15942F237018:2021-02-24T18:51:06Z,12:30:00,12:31:00,StopPoint:OCEINTERCITES-87783282,12,,0,0,
