route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000301,OCESN23460F137312:2021-03-09T18:51:45Z,23460,0,1525,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000519,OCESN23460F275143:2021-03-09T18:51:45Z,23460,0,1526,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000301,OCESN23462F131542:2021-03-09T18:51:45Z,23462,0,1527,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000288,OCESN23462F272498:2021-03-09T18:51:45Z,23462,0,1528,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000410,OCESN23462F275155:2021-03-09T18:51:45Z,23462,0,1529,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000410,OCESN23464F273225:2021-03-09T18:51:45Z,23464,0,1530,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23466F276564:2021-03-09T18:51:45Z,23466,0,1531,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23468F272432:2021-03-09T18:51:45Z,23468,0,1532,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000168,OCESN23470F275685:2021-03-09T18:51:45Z,23470,0,1533,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23476F275182:2021-03-09T18:51:45Z,23476,1,1534,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23478F272431:2021-03-09T18:51:45Z,23478,1,1535,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000301,OCESN23480F130977:2021-03-09T18:51:45Z,23480,1,1536,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000520,OCESN23480F269550:2021-03-09T18:51:45Z,23480,1,1537,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000154,OCESN23480F272979:2021-03-08T18:51:30Z,23480,1,1538,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000301,OCESN23482F131015:2021-03-09T18:51:45Z,23482,1,1539,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000518,OCESN23482F271331:2021-03-09T18:51:45Z,23482,1,1540,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000521,OCESN23484F246826:2021-03-07T18:51:13Z,23484,1,1541,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000154,OCESN23484F275138:2021-03-09T18:51:45Z,23484,1,1542,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23486F273242:2021-03-09T18:51:45Z,23486,1,1543,
OCESN-FR:Line::E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3:,000000,OCESN23488F275001:2021-03-09T18:51:45Z,23488,1,1544,
OCESN-325,000522,OCESN23722F180008:2021-03-02T18:51:04Z,23722,0,1545,
OCESN-325,000523,OCESN23722F180336:2021-03-02T18:51:04Z,23722,0,1546,
OCESN-325,000091,OCESN23722F220305:2021-02-19T13:09:32Z,23722,0,1547,
OCESN-325,000092,OCESN23722F220366:2021-02-24T15:20:15Z,23722,0,1548,
OCESN-325,000413,OCESN23723F238177:2021-03-09T18:51:45Z,23723,1,1549,
OCESN-325,000088,OCESN23724F221150:2021-02-24T15:20:15Z,23724,0,1550,
OCESN-325,000524,OCESN23724F234483:2021-03-09T18:51:45Z,23724,0,1551,
OCESN-325,000088,OCESN23726F222545:2021-02-24T15:20:15Z,23726,0,1552,
OCESN-325,000524,OCESN23726F243716:2021-03-09T18:51:45Z,23726,0,1553,
OCESN-325,000413,OCESN23727F238142:2021-03-09T18:51:45Z,23727,1,1554,
OCESN-325,000088,OCESN23728F220383:2021-02-24T15:20:15Z,23728,0,1555,
OCESN-325,000525,OCESN23728F234348:2021-03-09T18:51:45Z,23728,0,1556,
OCESN-325,000526,OCESN23729F179996:2021-03-02T18:51:04Z,23729,1,1557,
OCESN-325,000413,OCESN23731F231759:2021-03-09T18:51:45Z,23731,1,1558,
OCESN-325,000088,OCESN23732F220915:2021-02-24T15:20:15Z,23732,0,1559,
OCESN-325,000527,OCESN23732F234654:2021-03-03T18:51:00Z,23732,0,1560,
OCESN-325,000528,OCESN23733F234481:2021-03-09T18:51:45Z,23733,1,1561,
OCESN-325,000088,OCESN23734F220852:2021-02-24T15:20:15Z,23734,0,1562,
OCESN-325,000524,OCESN23734F243228:2021-03-09T18:51:45Z,23734,0,1563,
OCESN-325,000088,OCESN23736F221992:2021-02-24T15:20:15Z,23736,0,1564,
OCESN-325,000529,OCESN23736F238611:2021-03-09T18:51:45Z,23736,0,1565,
