ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
TRA_8;2013-03;Transilien;K;Paris Nord Crépy;77.3;3.4
TRA_3;2013-04;RER;C;RER C;88.7;7.8
TRA_4;2013-04;RER;D;RER D;82.9;4.8
TRA_7;2013-04;Transilien;J;Paris Saint-Lazare Nord;85.0;5.7
TRA_11;2013-04;Transilien;P;Paris Est;92.7;12.7
TRA_8;2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3
TRA_9;2013-05;Transilien;L;Paris Saint-Lazare Sud;90.6;9.6
TRA_10;2013-05;Transilien;N;Paris Montparnasse;96.1;24.6
TRA_11;2013-05;Transilien;P;Paris Est;90.4;9.4
TRA_2;2013-06;RER;B;RER B;82.2;4.6
TRA_9;2013-06;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6
TRA_2;2013-07;RER;B;RER B;84.1;5.3
TRA_10;2013-07;Transilien;N;Paris Montparnasse;93.2;13.7
TRA_8;2013-08;Transilien;K;Paris Nord Crépy;88.3;7.5
TRA_12;2013-08;Transilien;R;Paris Sud Est;92.0;11.5
TRA_13;2013-08;Transilien;U;La Verrière - La Défense;95.3;20.3
TRA_4;2013-09;RER;D;RER D;83.1;4.9
TRA_11;2013-09;Transilien;P;Paris Est;88.0;7.3
TRA_4;2013-10;RER;D;RER D;79.6;3.9
TRA_8;2013-10;Transilien;K;Paris Nord Crépy;81.2;4.3
TRA_11;2013-10;Transilien;P;Paris Est;87.3;6.9
TRA_10;2013-11;Transilien;N;Paris Montparnasse;88.1;7.4
TRA_3;2013-12;RER;C;RER C;90.9;10.0
TRA_8;2013-12;Transilien;K;Paris Nord Crépy;83.1;4.9
TRA_1;2014-01;RER;A;RER A;81.1;4.3
TRA_9;2014-01;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6
TRA_10;2014-01;Transilien;N;Paris Montparnasse;96.1;24.6
TRA_11;2014-01;Transilien;P;Paris Est;91.0;10.1
TRA_13;2014-01;Transilien;U;La Verrière - La Défense;93.2;13.7
TRA_4;2014-02;RER;D;RER D;88.2;7.5
TRA_10;2014-03;Transilien;N;Paris Montparnasse;95.4;20.7
TRA_11;2014-03;Transilien;P;Paris Est;88.8;7.9
TRA_12;2014-03;Transilien;R;Paris Sud Est;91.5;10.8
TRA_7;2014-04;Transilien;J;Paris Saint-Lazare Nord;88.9;8.0
TRA_3;2014-05;RER;C;RER C;91.7;11.0
TRA_5;2014-05;RER;E;RER E;93.3;13.9
TRA_7;2014-05;Transilien;J;Paris Saint-Lazare Nord;87.1;6.8
TRA_1;2014-06;RER;A;RER A;72.6;2.6
TRA_4;2014-06;RER;D;RER D;85.2;5.8
TRA_8;2014-06;Transilien;K;Paris Nord Crépy;79.6;3.9
TRA_1;2014-07;RER;A;RER A;70.5;2.4
TRA_4;2014-07;RER;D;RER D;86.6;6.5
TRA_5;2014-07;RER;E;RER E;92.5;12.3
TRA_11;2014-07;Transilien;P;Paris Est;88.1;7.4
TRA_12;2014-07;Transilien;R;Paris Sud Est;89.7;8.7
TRA_13;2014-07;Transilien;U;La Verrière - La Défense;93.3;13.9
TRA_2;2014-08;RER;B;RER B;90.7;9.8
TRA_3;2014-08;RER;C;RER C;93.9;15.4
